date,revenue,expenses,net_income,total_assets,total_debt,equity,current_assets,current_liabilities
2023-01-01,90000,70000,20000,480000,190000,290000,140000,75000
2023-02-01,95000,73000,22000,485000,188000,297000,145000,73000
2023-03-01,98000,75000,23000,490000,186000,304000,150000,71000
2023-04-01,102000,77000,25000,495000,184000,311000,155000,69000
2023-05-01,106000,79000,27000,500000,182000,318000,160000,67000
2023-06-01,110000,81000,29000,505000,180000,325000,165000,65000
2023-07-01,114000,83000,31000,510000,178000,332000,170000,63000
2023-08-01,118000,85000,33000,515000,176000,339000,175000,61000
2023-09-01,122000,87000,35000,520000,174000,346000,180000,59000
2023-10-01,126000,89000,37000,525000,172000,353000,185000,57000
2023-11-01,130000,91000,39000,530000,170000,360000,190000,55000
2023-12-01,134000,93000,41000,535000,168000,367000,195000,53000
